N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Bauma;4881.00;165.30;978.00;2982.00;921.00;763.00;3.00;22.00;32.00;6.40;2.28;65.00;247.00;23.00;67.10;46.50;86.00;0.00;0.80
Wiesendangen;6633.00;346.00;1394.00;3844.00;1395.00;608.00;22.00;29.00;50.00;6.10;2.44;54.00;279.00;31.00;73.20;44.20;101.00;0.00;2.10
Aarberg;4626.00;583.40;892.00;2707.00;1027.00;589.00;-3.00;13.00;41.00;4.00;2.12;18.00;282.00;0.00;47.40;58.50;117.00;1.00;-1.10
Bargen (BE);1051.00;133.70;230.00;607.00;214.00;96.00;3.00;4.00;7.00;7.20;2.40;20.00;37.00;10.00;60.10;46.90;13.00;0.00;20.20
Grossaffoltern;3033.00;201.10;587.00;1796.00;650.00;182.00;5.00;10.00;22.00;5.20;2.24;52.00;104.00;4.00;62.90;50.80;48.00;0.00;-2.30
Kallnach;2220.00;123.50;417.00;1315.00;488.00;206.00;2.00;12.00;27.00;4.50;2.26;58.00;87.00;20.00;51.80;50.80;29.00;0.00;7.70
Kappelen;1420.00;129.40;292.00;879.00;249.00;84.00;3.00;5.00;13.00;4.00;2.26;30.00;70.00;0.00;51.70;54.30;20.00;0.00;2.10
Lyss;15763.00;1062.90;3033.00;9758.00;2972.00;3053.00;51.00;66.00;123.00;4.50;2.16;17.00;746.00;65.00;54.60;64.80;773.00;1.00;12.00
Meikirch;2526.00;246.90;472.00;1401.00;653.00;187.00;0.00;9.00;25.00;5.30;2.23;29.00;95.00;9.00;63.80;44.70;38.00;0.00;21.20
Radelfingen;1272.00;86.50;247.00;791.00;234.00;66.00;3.00;6.00;8.00;6.10;2.22;40.00;45.00;0.00;45.50;53.10;22.00;0.00;-13.30
Rapperswil (BE);2592.00;114.80;497.00;1613.00;482.00;172.00;-16.00;10.00;31.00;6.20;2.30;77.00;125.00;5.00;54.90;46.80;30.00;0.00;19.40
Schüpfen;3792.00;191.10;746.00;2325.00;721.00;295.00;7.00;21.00;29.00;5.10;2.19;58.00;185.00;0.00;50.30;56.50;140.00;0.00;5.30
Seedorf (BE);3134.00;150.20;581.00;1872.00;681.00;234.00;5.00;12.00;23.00;3.90;2.18;60.00;114.00;13.00;48.00;53.80;40.00;0.00;15.80
Aarwangen;4638.00;468.50;929.00;2757.00;952.00;740.00;17.00;20.00;29.00;6.40;2.25;24.00;187.00;49.00;67.60;53.00;159.00;0.00;-8.00
Auswil;448.00;97.00;90.00;268.00;90.00;12.00;4.00;3.00;3.00;5.10;2.24;26.00;20.00;0.00;41.50;48.90;6.00;0.00;9.00
Bannwil;676.00;141.40;134.00;394.00;148.00;56.00;5.00;1.00;5.00;6.10;2.25;13.00;30.00;0.00;60.20;53.30;13.00;0.00;16.50
Bleienbach;734.00;129.00;133.00;424.00;177.00;42.00;0.00;3.00;9.00;4.60;2.20;18.00;36.00;2.00;50.00;50.10;X;0.00;27.60
Busswil bei Melchnau;177.00;61.90;20.00;112.00;45.00;4.00;-4.00;2.00;5.00;3.40;2.03;9.00;7.00;0.00;47.40;49.00;X;0.00;-11.20
Gondiswil;711.00;75.60;157.00;398.00;156.00;22.00;-7.00;3.00;11.00;5.40;2.26;47.00;24.00;1.00;36.10;50.50;10.00;0.00;-13.90
Langenthal;15544.00;902.10;3017.00;9223.00;3304.00;3744.00;-26.00;71.00;178.00;5.60;2.12;16.00;1065.00;10.00;55.80;59.00;1035.00;1.00;-5.80
Lotzwil;2663.00;428.10;586.00;1579.00;498.00;469.00;2.00;12.00;25.00;6.80;2.25;11.00;99.00;4.00;68.70;54.10;155.00;0.00;12.90
Madiswil;3284.00;141.70;673.00;1892.00;719.00;181.00;-3.00;15.00;43.00;6.60;2.23;88.00;147.00;5.00;52.10;50.10;72.00;0.00;1.50
Melchnau;1488.00;144.70;306.00;828.00;354.00;200.00;-3.00;6.00;13.00;7.20;2.19;35.00;65.00;1.00;55.00;46.90;66.00;0.00;4.00
Obersteckholz;415.00;106.10;84.00;219.00;112.00;6.00;-6.00;1.00;7.00;7.10;2.23;16.00;12.00;0.00;50.60;47.90;9.00;0.00;-2.40
Oeschenbach;220.00;56.10;36.00;126.00;58.00;3.00;-2.00;0.00;2.00;2.90;2.08;18.00;9.00;0.00;30.30;48.30;X;0.00;0.00
Reisiswil;173.00;86.10;39.00;102.00;32.00;11.00;-1.00;0.00;2.00;6.60;2.26;6.00;9.00;0.00;31.70;54.60;X;0.00;0.00
Roggwil (BE);4176.00;532.70;848.00;2485.00;843.00;706.00;-9.00;14.00;37.00;6.30;2.27;16.00;177.00;10.00;70.60;55.10;226.00;0.00;29.90
Rohrbach;1520.00;372.50;298.00;884.00;338.00;120.00;-6.00;4.00;19.00;5.00;2.13;18.00;62.00;4.00;54.40;51.40;55.00;0.00;28.00
Rohrbachgraben;390.00;60.40;91.00;219.00;80.00;21.00;2.00;2.00;3.00;15.30;2.70;31.00;14.00;1.00;33.60;47.10;7.00;0.00;-20.40
Rütschelen;564.00;141.70;141.00;313.00;110.00;26.00;-2.00;0.00;5.00;9.40;2.46;11.00;23.00;10.00;65.20;43.50;X;0.00;-3.50
Schwarzhäusern;533.00;140.60;119.00;317.00;97.00;39.00;1.00;2.00;4.00;7.30;2.40;7.00;14.00;0.00;67.00;50.40;14.00;0.00;11.30
Thunstetten;3458.00;358.00;709.00;2024.00;725.00;638.00;9.00;9.00;24.00;6.10;2.28;37.00;122.00;35.00;64.00;57.50;139.00;0.00;8.70
Ursenbach;881.00;96.10;178.00;522.00;181.00;36.00;-5.00;7.00;9.00;8.20;2.28;41.00;37.00;0.00;35.80;56.80;18.00;0.00;8.00
Wynau;1624.00;320.30;314.00;977.00;333.00;397.00;2.00;11.00;9.00;6.20;2.21;13.00;68.00;4.00;64.10;56.40;72.00;0.00;-26.20
Bern;134794.00;2611.30;22527.00;89051.00;23216.00;33083.00;378.00;739.00;1236.00;4.00;1.96;49.00;13618.00;300.00;27.20;57.20;6863.00;12.00;-0.70
Bolligen;6308.00;380.70;1245.00;3228.00;1835.00;692.00;-20.00;19.00;72.00;4.90;2.22;41.00;267.00;32.00;69.60;50.80;146.00;0.00;5.90
Bremgarten bei Bern;4340.00;2284.20;914.00;2323.00;1103.00;436.00;-10.00;16.00;40.00;3.80;2.24;X;185.00;0.00;74.30;52.40;56.00;0.00;-3.70
Kirchlindach;3200.00;267.60;560.00;1847.00;793.00;294.00;-1.00;22.00;32.00;3.80;2.12;35.00;128.00;1.00;58.40;51.10;52.00;0.00;-5.90
Köniz;42388.00;831.00;8288.00;25442.00;8658.00;8410.00;58.00;184.00;407.00;4.90;2.13;128.00;1826.00;272.00;49.30;61.40;1808.00;0.00;5.90
Muri bei Bern;13182.00;1727.70;2494.00;7131.00;3557.00;2311.00;-51.00;39.00;154.00;4.50;2.14;7.00;879.00;68.00;52.50;56.00;399.00;1.00;16.00
Oberbalm;866.00;69.90;169.00;517.00;180.00;34.00;3.00;5.00;5.00;6.50;2.24;60.00;23.00;0.00;27.40;57.50;15.00;0.00;14.00
Stettlen;3162.00;903.40;653.00;1837.00;672.00;504.00;-2.00;17.00;27.00;4.70;2.26;8.00;139.00;31.00;59.40;54.20;114.00;0.00;6.70
Vechigen;5512.00;222.10;1089.00;3189.00;1234.00;478.00;3.00;13.00;42.00;5.00;2.25;84.00;196.00;73.00;62.40;51.20;74.00;0.00;28.70
Wohlen bei Bern;9240.00;254.40;1696.00;4920.00;2624.00;1131.00;-53.00;25.00;111.00;4.90;2.20;85.00;352.00;8.00;59.70;50.30;336.00;0.00;1.90
Zollikofen;10640.00;1974.00;2137.00;6155.00;2348.00;2499.00;-8.00;43.00;116.00;5.10;2.12;13.00;428.00;174.00;53.10;63.00;518.00;0.00;16.00
Ittigen;11430.00;2721.40;2177.00;6608.00;2645.00;3057.00;39.00;53.00;102.00;5.20;2.13;6.00;556.00;36.00;51.90;63.40;926.00;0.00;7.00
Ostermundigen;17758.00;2979.50;3444.00;10582.00;3732.00;5526.00;28.00;74.00;181.00;4.40;2.05;7.00;589.00;22.00;33.60;69.10;1240.00;0.00;-2.20
Biel/Bienne;55206.00;2605.30;10634.00;34414.00;10158.00;18467.00;-32.00;249.00;625.00;4.90;2.01;8.00;3909.00;21.00;28.30;65.30;5815.00;6.00;-6.60
Evilard;2672.00;722.20;627.00;1421.00;624.00;352.00;-9.00;6.00;26.00;6.90;2.39;6.00;132.00;1.00;65.10;49.00;31.00;0.00;12.00
Arch;1700.00;266.50;331.00;1017.00;352.00;130.00;2.00;2.00;6.00;4.00;2.17;12.00;66.00;22.00;65.50;59.70;41.00;0.00;39.70
Büetigen;894.00;247.60;183.00;547.00;164.00;77.00;5.00;2.00;5.00;5.50;2.40;9.00;28.00;8.00;72.70;48.60;22.00;0.00;22.70
Büren an der Aare;3622.00;287.50;764.00;2124.00;734.00;675.00;18.00;16.00;16.00;4.80;2.16;30.00;185.00;3.00;56.10;56.20;165.00;0.00;0.00
Diessbach bei Büren;991.00;156.60;229.00;589.00;173.00;101.00;1.00;2.00;5.00;6.80;2.45;21.00;37.00;4.00;55.60;52.50;29.00;0.00;-5.00
Dotzigen;1490.00;352.20;333.00;833.00;324.00;133.00;2.00;6.00;14.00;5.60;2.37;7.00;61.00;27.00;62.30;55.00;50.00;0.00;3.40
Lengnau (BE);5316.00;717.40;1061.00;3065.00;1190.00;1448.00;-19.00;22.00;63.00;5.60;2.16;10.00;195.00;95.00;63.10;59.90;317.00;0.00;11.90
Leuzigen;1295.00;126.00;287.00;739.00;269.00;91.00;-2.00;5.00;13.00;5.70;2.23;23.00;53.00;4.00;56.30;52.90;31.00;0.00;5.40
Meienried;53.00;81.50;8.00;33.00;12.00;3.00;2.00;1.00;0.00;4.20;2.21;X;X;0.00;33.30;58.30;X;0.00;19.40
Meinisberg;1326.00;302.10;301.00;744.00;281.00;149.00;-2.00;6.00;13.00;6.10;2.36;10.00;54.00;3.00;73.60;53.50;46.00;0.00;21.30
Oberwil bei Büren;887.00;131.60;197.00;521.00;169.00;44.00;-9.00;1.00;14.00;5.90;2.26;20.00;39.00;0.00;56.90;49.70;21.00;0.00;-10.10
Pieterlen;4784.00;572.90;1131.00;2867.00;786.00;1454.00;18.00;20.00;39.00;7.40;2.29;11.00;167.00;10.00;61.10;63.00;319.00;0.00;26.70
Rüti bei Büren;867.00;133.40;170.00;511.00;186.00;92.00;-2.00;4.00;11.00;4.80;2.18;17.00;31.00;2.00;51.10;52.60;24.00;0.00;18.60
Wengi;630.00;89.00;132.00;390.00;108.00;58.00;2.00;5.00;3.00;4.70;2.25;19.00;31.00;1.00;55.10;42.20;6.00;0.00;35.50
Aefligen;1103.00;540.70;210.00;671.00;222.00;101.00;2.00;7.00;8.00;4.00;2.17;10.00;46.00;4.00;63.80;56.40;25.00;0.00;2.70
Alchenstorf;584.00;88.90;102.00;348.00;134.00;28.00;2.00;0.00;4.00;3.10;2.20;23.00;14.00;1.00;52.40;46.10;X;0.00;8.60
Bäriswil;1071.00;392.30;214.00;619.00;238.00;68.00;0.00;5.00;6.00;4.30;2.28;6.00;37.00;5.00;73.40;41.90;27.00;0.00;19.80
Burgdorf;16583.00;1065.70;3052.00;10041.00;3490.00;2823.00;14.00;71.00;168.00;5.00;2.07;9.00;1113.00;2.00;50.10;60.70;994.00;2.00;0.80
Ersigen;2063.00;133.40;458.00;1178.00;427.00;70.00;3.00;8.00;19.00;6.10;2.29;49.00;71.00;1.00;57.10;51.10;21.00;0.00;8.80
Hasle bei Burgdorf;3302.00;150.80;693.00;1979.00;630.00;300.00;-12.00;13.00;45.00;5.30;2.26;78.00;142.00;20.00;43.50;56.10;125.00;0.00;-8.40
Heimiswil;1632.00;69.90;377.00;942.00;313.00;69.00;0.00;4.00;17.00;7.30;2.34;93.00;36.00;2.00;40.30;53.60;41.00;0.00;-4.90
Hellsau;214.00;144.60;52.00;125.00;37.00;10.00;3.00;1.00;0.00;9.50;2.54;7.00;7.00;3.00;67.70;46.40;X;0.00;0.00
Hindelbank;2519.00;373.20;533.00;1482.00;504.00;341.00;11.00;13.00;18.00;5.10;2.19;13.00;118.00;41.00;56.20;59.70;82.00;0.00;9.60
Höchstetten;279.00;105.70;52.00;169.00;58.00;14.00;-1.00;1.00;3.00;6.90;2.36;12.00;11.00;0.00;42.70;50.80;6.00;0.00;36.40
Kernenried;547.00;164.30;116.00;324.00;107.00;26.00;1.00;0.00;9.00;6.60;2.40;11.00;18.00;0.00;53.90;52.30;7.00;0.00;-27.10
Kirchberg (BE);5919.00;654.00;1146.00;3446.00;1327.00;906.00;25.00;29.00;39.00;4.90;2.18;26.00;331.00;2.00;59.90;60.00;204.00;0.00;-4.10
Koppigen;2104.00;303.60;395.00;1225.00;484.00;125.00;-4.00;6.00;23.00;5.50;2.23;16.00;103.00;15.00;61.20;51.60;64.00;0.00;10.50
Krauchthal;2384.00;122.70;455.00;1469.00;460.00;143.00;-4.00;15.00;20.00;4.80;2.29;45.00;66.00;16.00;57.60;49.50;39.00;0.00;-6.70
Lyssach;1466.00;242.30;263.00;892.00;311.00;139.00;10.00;8.00;8.00;4.70;2.18;12.00;136.00;12.00;58.80;57.80;57.00;0.00;14.50
Mötschwil;119.00;40.30;14.00;85.00;20.00;5.00;-2.00;0.00;2.00;4.00;2.30;7.00;11.00;0.00;20.50;49.20;X;0.00;-8.30
Oberburg;2937.00;207.70;615.00;1741.00;581.00;552.00;-12.00;11.00;28.00;6.70;2.25;48.00;104.00;5.00;41.20;60.70;275.00;0.00;-12.50
Rüdtligen-Alchenflüh;2444.00;898.50;467.00;1551.00;426.00;636.00;1.00;14.00;29.00;5.50;2.16;6.00;85.00;0.00;50.90;68.50;122.00;0.00;7.80
Rumendingen;81.00;33.20;22.00;41.00;18.00;0.00;1.00;0.00;1.00;5.60;2.22;9.00;X;0.00;20.70;46.50;X;0.00;12.50
Rüti bei Lyssach;172.00;133.30;36.00;109.00;27.00;4.00;1.00;1.00;1.00;9.60;2.34;7.00;X;0.00;50.00;50.60;X;0.00;23.60
Willadingen;199.00;91.70;31.00;115.00;53.00;1.00;0.00;1.00;1.00;4.20;2.05;8.00;8.00;2.00;58.70;47.00;X;0.00;-24.80
Wynigen;2077.00;73.30;433.00;1167.00;477.00;75.00;2.00;14.00;16.00;6.70;2.29;100.00;74.00;4.00;40.60;50.70;29.00;0.00;-9.60
Corgémont;1774.00;100.50;422.00;1003.00;349.00;279.00;3.00;9.00;16.00;6.00;2.27;22.00;70.00;9.00;65.90;51.00;40.00;0.00;19.40
Cormoret;494.00;36.60;106.00;277.00;111.00;23.00;-1.00;1.00;5.00;8.20;2.34;10.00;22.00;0.00;54.50;52.70;8.00;0.00;6.10
Cortébert;696.00;47.20;143.00;407.00;146.00;102.00;-2.00;3.00;9.00;8.30;2.26;19.00;28.00;1.00;54.60;59.10;29.00;0.00;13.00
Courtelary;1405.00;63.30;334.00;787.00;284.00;218.00;-9.00;10.00;20.00;6.60;2.33;22.00;64.00;2.00;64.30;45.50;47.00;0.00;-30.10
La Ferrière;530.00;37.40;104.00;350.00;76.00;45.00;4.00;1.00;5.00;6.10;2.31;30.00;21.00;2.00;50.50;53.70;X;0.00;0.00
Mont-Tramelan;111.00;23.90;32.00;56.00;23.00;0.00;0.00;0.00;1.00;10.90;2.41;12.00;X;0.00;24.20;52.60;X;0.00;0.00
Orvin;1198.00;55.50;225.00;704.00;269.00;135.00;-7.00;7.00;15.00;5.50;2.16;23.00;57.00;1.00;71.50;51.70;24.00;0.00;10.90
Renan (BE);934.00;74.00;187.00;577.00;170.00;94.00;0.00;5.00;8.00;5.90;2.16;21.00;37.00;3.00;48.30;51.00;18.00;0.00;7.50
Romont (BE);202.00;28.80;25.00;124.00;53.00;29.00;-3.00;0.00;4.00;1.10;2.13;6.00;6.00;3.00;61.50;54.70;X;0.00;-14.80
Saint-Imier;5156.00;247.10;1028.00;3125.00;1003.00;1580.00;-6.00;14.00;55.00;4.60;2.04;22.00;264.00;5.00;48.40;58.50;493.00;1.00;4.50
Sonceboz-Sombeval;1954.00;130.60;458.00;1172.00;324.00;369.00;-4.00;4.00;22.00;7.80;2.38;11.00;68.00;3.00;60.10;53.20;52.00;0.00;5.10
Sonvilier;1223.00;51.40;298.00;741.00;184.00;156.00;1.00;4.00;14.00;6.80;2.28;42.00;50.00;1.00;49.60;55.60;43.00;0.00;-12.20
Tramelan;4607.00;185.50;996.00;2655.00;956.00;777.00;-30.00;16.00;78.00;6.50;2.17;38.00;226.00;17.00;49.00;61.90;224.00;1.00;10.20
Villeret;941.00;57.90;202.00;547.00;192.00;147.00;6.00;2.00;5.00;6.30;2.22;13.00;41.00;0.00;62.80;50.00;36.00;0.00;17.20
Sauge;827.00;61.40;141.00;493.00;193.00;110.00;6.00;2.00;5.00;4.80;2.16;8.00;31.00;1.00;73.00;57.40;34.00;0.00;7.30
Péry-La Heutte;1908.00;80.20;394.00;1108.00;406.00;337.00;0.00;10.00;16.00;5.80;2.21;12.00;70.00;0.00;61.10;54.20;80.00;0.00;12.10
Brüttelen;582.00;88.00;100.00;368.00;114.00;120.00;-2.00;5.00;6.00;3.00;2.16;18.00;36.00;2.00;52.00;52.20;6.00;0.00;-5.10
Erlach;1386.00;397.10;250.00;836.00;300.00;243.00;-1.00;8.00;15.00;3.30;2.14;8.00;81.00;0.00;55.90;56.20;29.00;0.00;-2.90
Finsterhennen;562.00;157.40;130.00;333.00;99.00;160.00;-4.00;1.00;9.00;6.80;2.49;12.00;23.00;1.00;53.30;50.60;8.00;0.00;-19.20
Gals;828.00;105.60;160.00;511.00;157.00;112.00;-3.00;5.00;12.00;3.20;2.17;16.00;40.00;13.00;57.60;50.40;12.00;0.00;-3.60
Gampelen;950.00;89.60;183.00;594.00;173.00;158.00;2.00;4.00;8.00;6.00;2.32;20.00;68.00;1.00;44.20;56.00;10.00;0.00;-31.50
Ins;3560.00;149.10;816.00;1995.00;749.00;636.00;-4.00;11.00;28.00;5.70;2.31;45.00;203.00;28.00;51.20;53.60;50.00;1.00;2.00
Lüscherz;559.00;103.10;84.00;341.00;134.00;68.00;-1.00;1.00;4.00;2.10;1.93;14.00;27.00;13.00;65.90;54.60;9.00;0.00;16.20
Müntschemier;1561.00;320.50;342.00;977.00;242.00;494.00;5.00;6.00;10.00;7.80;2.43;20.00;49.00;10.00;54.00;45.20;8.00;0.00;35.90
Siselen;612.00;111.10;116.00;354.00;142.00;79.00;1.00;1.00;6.00;4.50;2.26;21.00;30.00;1.00;42.60;52.60;10.00;0.00;8.20
Treiten;429.00;90.50;72.00;256.00;101.00;54.00;1.00;0.00;1.00;4.30;2.28;16.00;16.00;0.00;52.50;44.90;X;0.00;38.10
Tschugg;470.00;142.90;87.00;302.00;81.00;94.00;-1.00;2.00;4.00;5.40;2.10;4.00;26.00;0.00;45.40;48.00;X;0.00;-4.20
Vinelz;878.00;192.50;167.00;491.00;220.00;82.00;1.00;3.00;7.00;5.30;2.19;10.00;45.00;1.00;71.50;50.60;X;0.00;0.00
Bätterkinden;3288.00;322.70;659.00;1915.00;714.00;217.00;19.00;14.00;18.00;4.50;2.29;18.00;114.00;1.00;64.50;56.10;84.00;0.00;6.40
Deisswil bei Münchenbuchsee;86.00;39.80;8.00;63.00;15.00;1.00;-2.00;1.00;3.00;4.80;2.00;5.00;X;0.00;25.90;55.30;X;0.00;-22.60
Diemerswil;199.00;69.60;47.00;119.00;33.00;6.00;1.00;1.00;0.00;11.80;2.61;12.00;9.00;0.00;50.80;47.60;X;0.00;-19.90
Fraubrunnen;5203.00;163.10;1126.00;3086.00;991.00;389.00;-3.00;17.00;44.00;5.40;2.33;86.00;196.00;9.00;62.40;49.30;106.00;0.00;5.00
Jegenstorf;5738.00;425.40;1147.00;3193.00;1398.00;576.00;-4.00;22.00;51.00;4.50;2.19;36.00;232.00;17.00;62.50;53.50;124.00;0.00;-4.90
Iffwil;428.00;84.60;93.00;259.00;76.00;35.00;2.00;1.00;3.00;7.00;2.43;12.00;19.00;0.00;48.40;54.90;6.00;0.00;9.40
Mattstetten;580.00;153.00;120.00;300.00;160.00;17.00;0.00;1.00;4.00;5.70;2.33;9.00;27.00;0.00;67.40;48.70;X;0.00;13.90
Moosseedorf;4092.00;641.40;852.00;2456.00;784.00;840.00;5.00;24.00;35.00;5.00;2.18;11.00;184.00;0.00;52.60;65.20;234.00;0.00;-9.20
Münchenbuchsee;10233.00;1161.50;2072.00;5978.00;2183.00;2014.00;-16.00;33.00;87.00;4.90;2.18;11.00;419.00;0.00;56.50;61.20;391.00;0.00;-8.40
Urtenen-Schönbühl;6367.00;885.50;1342.00;3828.00;1197.00;1278.00;29.00;22.00;48.00;5.00;2.19;14.00;264.00;27.00;41.90;69.20;319.00;0.00;4.70
Utzenstorf;4430.00;261.50;868.00;2621.00;941.00;432.00;-17.00;12.00;49.00;4.70;2.19;35.00;177.00;7.00;61.70;58.00;125.00;0.00;15.20
Wiggiswil;103.00;71.50;21.00;64.00;18.00;8.00;0.00;0.00;0.00;4.10;2.10;5.00;5.00;0.00;30.00;57.10;X;0.00;-9.70
Wiler bei Utzenstorf;995.00;260.50;213.00;608.00;174.00;85.00;8.00;4.00;5.00;7.90;2.27;13.00;28.00;7.00;67.60;53.10;18.00;0.00;2.00
Zielebach;330.00;172.80;55.00;196.00;79.00;27.00;3.00;4.00;3.00;2.70;2.22;6.00;10.00;0.00;76.50;47.50;X;0.00;30.80
Zuzwil (BE);563.00;162.20;124.00;311.00;128.00;22.00;-6.00;1.00;8.00;6.90;2.39;10.00;16.00;1.00;67.00;47.30;X;0.00;-1.80
Adelboden;3343.00;38.20;653.00;1929.00;761.00;276.00;6.00;19.00;29.00;7.70;2.25;118.00;210.00;25.00;19.40;56.60;18.00;1.00;-3.60
Aeschi bei Spiez;2256.00;72.80;473.00;1293.00;490.00;122.00;12.00;9.00;15.00;6.60;2.17;62.00;129.00;0.00;30.00;51.60;24.00;0.00;-0.40
Frutigen;6967.00;96.40;1510.00;3972.00;1485.00;524.00;16.00;18.00;63.00;7.50;2.27;193.00;331.00;30.00;32.30;56.80;128.00;0.00;1.60
Kandergrund;807.00;25.10;166.00;464.00;177.00;54.00;-10.00;2.00;13.00;4.00;2.13;38.00;30.00;1.00;24.90;52.20;16.00;0.00;-6.10
Kandersteg;1288.00;9.60;179.00;753.00;356.00;290.00;2.00;7.00;12.00;2.20;1.92;13.00;94.00;2.00;28.70;55.20;35.00;0.00;3.10
Krattigen;1130.00;188.30;192.00;625.00;313.00;90.00;-11.00;2.00;17.00;3.90;2.04;10.00;53.00;1.00;48.50;51.70;8.00;0.00;3.50
Reichenbach im Kandertal;3638.00;28.90;775.00;2072.00;791.00;178.00;-12.00;17.00;46.00;6.70;2.22;112.00;171.00;14.00;35.30;49.90;55.00;0.00;6.90
Beatenberg;1199.00;41.00;173.00;678.00;348.00;232.00;-4.00;5.00;14.00;3.50;1.86;20.00;82.00;2.00;34.80;49.20;25.00;0.00;2.50
Bönigen;2569.00;170.40;493.00;1461.00;615.00;239.00;0.00;10.00;22.00;4.20;2.13;11.00;83.00;0.00;52.20;54.10;58.00;0.00;17.30
Brienz (BE);3158.00;65.70;597.00;1796.00;765.00;396.00;5.00;15.00;23.00;5.20;2.07;35.00;196.00;30.00;42.80;49.60;101.00;1.00;11.20
Brienzwiler;481.00;27.30;67.00;292.00;122.00;50.00;-4.00;2.00;8.00;2.00;1.87;6.00;30.00;1.00;44.00;48.40;7.00;0.00;18.90
Därligen;415.00;59.90;84.00;236.00;95.00;62.00;2.00;4.00;4.00;3.00;2.08;4.00;18.00;0.00;54.20;40.80;8.00;0.00;-16.70
Grindelwald;3800.00;22.20;545.00;2378.00;877.00;909.00;-2.00;18.00;30.00;2.40;1.92;97.00;314.00;30.00;26.00;47.10;27.00;0.00;-2.10
Gsteigwiler;402.00;57.20;72.00;246.00;84.00;45.00;-1.00;2.00;5.00;3.00;2.01;8.00;17.00;1.00;49.70;42.10;17.00;0.00;0.00
Gündlischwand;351.00;21.00;76.00;215.00;60.00;78.00;-1.00;3.00;3.00;5.80;2.26;X;11.00;0.00;36.80;51.30;13.00;0.00;-2.80
Habkern;634.00;12.40;131.00;368.00;135.00;47.00;-10.00;5.00;14.00;9.00;2.25;47.00;23.00;0.00;43.00;52.40;15.00;0.00;-9.40
Hofstetten bei Brienz;531.00;60.50;79.00;314.00;138.00;40.00;-3.00;4.00;6.00;5.80;2.18;8.00;35.00;1.00;52.40;44.10;14.00;0.00;13.20
Interlaken;5719.00;1339.30;885.00;3561.00;1273.00;1800.00;-20.00;26.00;69.00;3.50;1.94;X;779.00;62.00;28.50;57.40;257.00;1.00;20.40
Iseltwald;415.00;18.90;71.00;232.00;112.00;40.00;-5.00;1.00;7.00;3.40;1.98;8.00;25.00;0.00;51.00;54.30;X;0.00;-21.30
Lauterbrunnen;2301.00;14.00;315.00;1420.00;566.00;654.00;-3.00;9.00;19.00;2.50;1.88;42.00;278.00;4.00;32.70;55.60;22.00;1.00;12.70
Leissigen;1171.00;112.80;230.00;693.00;248.00;128.00;2.00;3.00;8.00;4.40;2.20;6.00;59.00;5.00;56.00;46.50;28.00;0.00;17.20
Lütschental;214.00;17.40;38.00;142.00;34.00;21.00;-4.00;2.00;7.00;1.90;2.04;12.00;14.00;0.00;33.10;51.10;11.00;0.00;-31.80
Matten bei Interlaken;4060.00;687.00;661.00;2485.00;914.00;827.00;-9.00;15.00;42.00;2.90;2.06;11.00;195.00;15.00;43.90;62.40;82.00;0.00;-10.50
Niederried bei Interlaken;368.00;89.10;50.00;210.00;108.00;55.00;-3.00;3.00;4.00;1.70;2.01;4.00;11.00;0.00;44.60;48.40;20.00;0.00;16.40
Oberried am Brienzersee;461.00;22.90;59.00;270.00;132.00;54.00;-4.00;3.00;7.00;1.20;1.87;10.00;22.00;1.00;42.50;56.40;14.00;0.00;44.20
Ringgenberg (BE);2588.00;291.40;443.00;1543.00;602.00;292.00;-5.00;5.00;24.00;3.00;2.02;11.00;119.00;5.00;42.60;46.90;95.00;0.00;13.90
Saxeten;92.00;4.70;9.00;62.00;21.00;5.00;-4.00;0.00;4.00;0.00;1.82;7.00;8.00;0.00;36.70;44.90;X;0.00;10.80
Schwanden bei Brienz;625.00;88.50;108.00;342.00;175.00;49.00;-5.00;2.00;8.00;4.50;1.97;5.00;19.00;1.00;44.70;48.10;7.00;0.00;3.20
Unterseen;5760.00;411.70;934.00;3444.00;1382.00;1040.00;-23.00;25.00;57.00;3.20;2.02;18.00;362.00;24.00;47.30;56.20;135.00;0.00;-11.40
Wilderswil;2638.00;200.00;485.00;1637.00;516.00;408.00;3.00;15.00;20.00;4.10;2.12;18.00;150.00;10.00;41.70;50.50;56.00;0.00;-13.20
Arni (BE);936.00;89.70;201.00;561.00;174.00;26.00;1.00;8.00;9.00;6.00;2.33;51.00;18.00;1.00;33.60;54.40;13.00;0.00;4.30
Biglen;1847.00;514.50;330.00;1134.00;383.00;150.00;-3.00;11.00;18.00;4.70;2.13;19.00;88.00;7.00;48.60;56.70;69.00;0.00;18.60
Bowil;1354.00;92.20;289.00;815.00;250.00;40.00;-2.00;7.00;12.00;6.20;2.27;50.00;48.00;3.00;31.90;51.60;31.00;0.00;-7.40
Brenzikofen;481.00;219.60;84.00;289.00;108.00;12.00;0.00;0.00;4.00;4.50;2.15;9.00;27.00;0.00;42.40;45.50;7.00;0.00;-22.60
Freimettigen;461.00;155.70;107.00;267.00;87.00;33.00;-1.00;1.00;4.00;5.50;2.30;12.00;15.00;0.00;37.20;48.50;6.00;0.00;17.50
