N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Waltenschwil;3053.00;672.50;635.00;1908.00;510.00;492.00;8.00;9.00;23.00;5.60;2.36;17.00;122.00;29.00;72.80;51.60;58.00;0.00;26.30
Hellikon;780.00;110.80;148.00;465.00;167.00;48.00;-6.00;2.00;10.00;5.50;2.35;23.00;32.00;9.00;70.30;45.30;6.00;0.00;0.00
Kaiseraugst;5550.00;1132.70;1106.00;3398.00;1046.00;1606.00;19.00;19.00;39.00;5.40;2.28;6.00;185.00;0.00;66.60;63.70;86.00;0.00;0.20
Magden;3872.00;351.40;808.00;2253.00;811.00;564.00;-2.00;13.00;22.00;4.80;2.38;16.00;160.00;2.00;80.90;43.70;27.00;0.00;-2.30
Möhlin;11088.00;589.80;2314.00;6798.00;1976.00;2777.00;26.00;40.00;69.00;5.80;2.36;37.00;461.00;10.00;69.90;59.00;260.00;0.00;2.20
Mumpf;1543.00;491.40;254.00;1035.00;254.00;518.00;6.00;3.00;12.00;4.20;2.20;5.00;62.00;12.00;74.60;59.30;26.00;0.00;-8.40
Obermumpf;1048.00;208.80;191.00;677.00;180.00;181.00;-9.00;4.00;13.00;5.60;2.25;10.00;38.00;0.00;67.50;48.90;X;0.00;9.50
Olsberg;356.00;77.20;54.00;201.00;101.00;43.00;0.00;1.00;3.00;5.70;2.23;10.00;15.00;1.00;71.60;35.20;X;0.00;-5.60
Rheinfelden;13551.00;845.90;2426.00;8430.00;2695.00;4443.00;50.00;59.00;101.00;4.00;2.09;5.00;823.00;165.00;54.90;62.20;446.00;0.00;0.50
Schupfart;803.00;113.90;136.00;521.00;146.00;111.00;-3.00;5.00;7.00;3.00;2.17;17.00;37.00;2.00;59.30;46.90;8.00;0.00;7.50
Stein (AG);3253.00;1149.50;608.00;2066.00;579.00;1320.00;4.00;16.00;29.00;5.30;2.19;X;160.00;92.00;62.80;66.20;79.00;0.00;22.10
Wallbach;1999.00;439.30;363.00;1244.00;392.00;330.00;-2.00;10.00;15.00;3.40;2.24;8.00;92.00;16.00;76.70;50.80;X;0.00;8.00
Wegenstetten;1040.00;146.10;195.00;604.00;241.00;118.00;-5.00;1.00;11.00;6.90;2.41;15.00;44.00;3.00;68.30;43.50;20.00;0.00;3.80
Zeiningen;2400.00;211.10;488.00;1470.00;442.00;407.00;0.00;12.00;13.00;4.50;2.32;23.00;121.00;2.00;71.90;41.10;28.00;0.00;7.90
Zuzgen;881.00;105.00;164.00;547.00;170.00;132.00;1.00;6.00;8.00;6.30;2.41;19.00;44.00;8.00;67.90;40.90;8.00;0.00;14.90
Aarburg;8577.00;1944.90;1718.00;5632.00;1227.00;3802.00;42.00;52.00;72.00;6.30;2.20;5.00;348.00;75.00;65.50;62.00;385.00;0.00;19.50
Bottenwil;823.00;161.40;171.00;481.00;171.00;79.00;5.00;6.00;4.00;6.10;2.36;16.00;35.00;4.00;63.80;42.10;X;0.00;9.80
Brittnau;3968.00;290.30;804.00;2454.00;710.00;427.00;16.00;9.00;20.00;5.10;2.32;50.00;142.00;36.00;69.50;51.20;72.00;0.00;1.00
Kirchleerau;898.00;206.00;185.00;547.00;166.00;109.00;6.00;6.00;5.00;5.20;2.21;17.00;38.00;7.00;70.10;45.10;6.00;0.00;24.90
Kölliken;4559.00;512.80;1029.00;2772.00;758.00;945.00;-4.00;23.00;53.00;7.50;2.37;13.00;211.00;30.00;74.70;49.00;120.00;0.00;-1.10
Moosleerau;915.00;240.20;175.00;581.00;159.00;141.00;-1.00;3.00;8.00;7.50;2.34;9.00;39.00;7.00;68.90;50.70;12.00;0.00;19.80
Murgenthal;2959.00;158.90;553.00;1832.00;574.00;584.00;-2.00;10.00;29.00;7.30;2.31;28.00;133.00;0.00;66.70;49.50;47.00;0.00;-18.40
Oftringen;14455.00;1124.90;3071.00;9096.00;2288.00;5444.00;72.00;89.00;109.00;6.50;2.29;32.00;529.00;108.00;61.80;62.00;203.00;1.00;19.90
Reitnau;1519.00;189.40;356.00;924.00;239.00;171.00;-1.00;3.00;7.00;8.30;2.44;40.00;81.00;4.00;60.20;40.50;18.00;0.00;-22.10
Rothrist;9290.00;784.00;1986.00;5625.00;1679.00;2155.00;23.00;39.00;77.00;6.40;2.34;22.00;437.00;41.00;67.90;56.40;253.00;0.00;11.40
Safenwil;4107.00;685.60;802.00;2558.00;747.00;1054.00;10.00;15.00;30.00;5.10;2.21;15.00;194.00;68.00;71.60;55.40;121.00;0.00;43.60
Staffelbach;1309.00;146.60;265.00;857.00;187.00;196.00;2.00;5.00;11.00;5.20;2.25;24.00;54.00;4.00;59.50;48.10;28.00;0.00;1.50
Strengelbach;4859.00;805.80;947.00;2949.00;963.00;1336.00;2.00;18.00;46.00;5.00;2.21;12.00;148.00;14.00;68.40;57.70;118.00;0.00;1.20
Uerkheim;1342.00;189.30;241.00;830.00;271.00;120.00;1.00;10.00;12.00;3.60;2.17;33.00;54.00;4.00;55.00;53.80;17.00;0.00;-8.20
